,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Team,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameType
283,283,283,283,283,New York Knicks,Indiana Pacers,W,11/05/2017,240,44,88,0.5,6,23,0.261,14,19,0.737,12,34,46,24,8,7,12,21,108,7,regular season
284,284,284,284,284,Charlotte Hornets,Minnesota Timberwolves,L,11/05/2017,240,37,89,0.416,9,28,0.321,11,21,0.524,10,30,40,24,8,3,11,24,94,-18,regular season
285,285,285,285,285,Minnesota Timberwolves,Charlotte Hornets,W,11/05/2017,240,38,83,0.458,10,24,0.417,26,30,0.867,12,42,54,20,4,4,16,19,112,18,regular season
286,286,286,286,286,Oklahoma City Thunder,Portland Trail Blazers,L,11/05/2017,240,40,89,0.449,11,33,0.333,8,15,0.5329999999999999,6,26,32,17,11,2,11,27,99,-4,regular season
287,287,287,287,287,Portland Trail Blazers,Oklahoma City Thunder,W,11/05/2017,240,37,74,0.5,7,20,0.35,22,28,0.7859999999999999,7,37,44,20,6,7,21,20,103,4,regular season
288,288,288,288,288,Memphis Grizzlies,Los Angeles Lakers,L,11/05/2017,240,40,87,0.46,11,37,0.297,11,14,0.7859999999999999,6,33,39,23,6,7,12,22,102,-5,regular season
289,289,289,289,289,Los Angeles Lakers,Memphis Grizzlies,W,11/05/2017,240,40,85,0.471,9,27,0.333,18,23,0.7829999999999999,8,38,46,25,5,4,16,16,107,5,regular season
290,290,290,290,290,Boston Celtics,Atlanta Hawks,W,11/06/2017,240,39,81,0.481,14,36,0.389,18,22,0.818,7,35,42,28,3,3,13,21,110,3,regular season
291,291,291,291,291,Atlanta Hawks,Boston Celtics,L,11/06/2017,240,39,81,0.481,13,26,0.5,16,20,0.8,5,31,36,24,8,4,14,22,107,-3,regular season
292,292,292,292,292,Brooklyn Nets,Phoenix Suns,W,11/06/2017,240,35,87,0.402,8,32,0.25,20,29,0.69,11,37,48,20,10,4,16,30,98,6,regular season
293,293,293,293,293,Phoenix Suns,Brooklyn Nets,L,11/06/2017,240,30,86,0.349,6,25,0.24,26,35,0.743,14,38,52,13,8,7,17,29,92,-6,regular season
294,294,294,294,294,Miami Heat,Golden State Warriors,L,11/06/2017,240,30,83,0.361,8,26,0.308,12,17,0.706,7,37,44,19,10,6,20,20,80,-17,regular season
295,295,295,295,295,Golden State Warriors,Miami Heat,W,11/06/2017,240,32,87,0.368,11,32,0.344,22,24,0.917,13,38,51,20,12,10,14,21,97,17,regular season
296,296,296,296,296,Milwaukee Bucks,Cleveland Cavaliers,L,11/07/2017,240,47,83,0.5660000000000001,13,30,0.433,12,16,0.75,8,28,36,29,6,8,16,31,119,-5,regular season
