,Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
290,Atlanta Hawks,,Kevin Huerter,Detroit Pistons,W,10/24/2019,14:04,0,3,.000,0,2,.000,0,0,,0,4,4,5,0,0,3,5,0,-5
291,Atlanta Hawks,,Vince Carter,Detroit Pistons,W,10/24/2019,10:14,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,1,1,0,+10
292,Detroit Pistons,,Luke Kennard,Atlanta Hawks,L,10/24/2019,30:31,3,12,.250,3,9,.333,4,4,1.000,1,3,4,3,1,0,1,0,13,-3
293,Detroit Pistons,,Langston Galloway,Atlanta Hawks,L,10/24/2019,25:51,2,9,.222,2,7,.286,2,2,1.000,0,3,3,3,1,1,1,1,8,-2
294,Detroit Pistons,,Derrick Rose,Atlanta Hawks,L,10/24/2019,25:16,11,16,.688,0,1,.000,5,5,1.000,0,1,1,3,0,0,3,1,27,-8
295,Detroit Pistons,,Thon Maker,Atlanta Hawks,L,10/24/2019,19:16,0,1,.000,0,1,.000,1,2,.500,2,3,5,1,0,2,1,0,1,-1
296,Detroit Pistons,,Tim Frazier,Atlanta Hawks,L,10/24/2019,10:13,2,5,.400,1,4,.250,2,2,1.000,0,0,0,1,0,0,0,3,7,-10
297,Milwaukee Bucks,,Khris Middleton,Houston Rockets,W,10/24/2019,33:20,4,16,.250,3,9,.333,0,0,,1,7,8,3,1,1,2,2,11,+2
298,Milwaukee Bucks,,Wesley Matthews,Houston Rockets,W,10/24/2019,30:23,6,12,.500,2,8,.250,0,0,,0,4,4,1,2,1,1,0,14,+4
299,Milwaukee Bucks,,Giannis Antetokounmpo,Houston Rockets,W,10/24/2019,28:10,11,17,.647,2,5,.400,6,11,.545,0,13,13,11,1,1,3,6,30,+8
300,Milwaukee Bucks,,Brook Lopez,Houston Rockets,W,10/24/2019,26:53,4,9,.444,1,3,.333,2,2,1.000,0,2,2,3,0,5,0,2,11,+5
301,Milwaukee Bucks,,Eric Bledsoe,Houston Rockets,W,10/24/2019,16:05,4,12,.333,2,4,.500,1,1,1.000,0,1,1,2,0,0,1,3,11,-6
302,Houston Rockets,,P.J. Tucker,Milwaukee Bucks,L,10/24/2019,38:21,6,10,.600,5,8,.625,0,0,,2,5,7,0,1,0,2,5,17,-5
303,Houston Rockets,,James Harden,Milwaukee Bucks,L,10/24/2019,36:26,2,13,.154,1,8,.125,14,14,1.000,2,5,7,14,1,1,7,5,19,-3
304,Houston Rockets,,Russell Westbrook,Milwaukee Bucks,L,10/24/2019,32:52,7,17,.412,3,7,.429,7,11,.636,4,12,16,7,2,1,3,3,24,0
305,Houston Rockets,,Clint Capela,Milwaukee Bucks,L,10/24/2019,30:54,5,10,.500,0,0,,3,6,.500,0,12,12,0,1,3,0,4,13,+2
306,Houston Rockets,,Danuel House,Milwaukee Bucks,L,10/24/2019,26:04,2,6,.333,2,4,.500,2,2,1.000,0,2,2,3,1,1,1,2,8,+10
307,Milwaukee Bucks,,George Hill,Houston Rockets,W,10/24/2019,30:47,3,7,.429,2,4,.500,0,0,,0,0,0,7,2,0,0,2,8,+16
308,Milwaukee Bucks,,Ersan İlyasova,Houston Rockets,W,10/24/2019,20:04,6,8,.750,1,2,.500,0,1,.000,4,7,11,0,0,1,2,5,13,+2
309,Milwaukee Bucks,,Pat Connaughton,Houston Rockets,W,10/24/2019,16:48,4,8,.500,2,5,.400,0,0,,0,4,4,2,0,1,0,1,10,-6
310,Milwaukee Bucks,,Robin Lopez,Houston Rockets,W,10/24/2019,16:35,1,3,.333,0,2,.000,0,3,.000,0,2,2,1,0,0,1,3,2,-4
311,Milwaukee Bucks,,Kyle Korver,Houston Rockets,W,10/24/2019,15:14,2,4,.500,1,3,.333,0,0,,1,5,6,1,1,0,1,1,5,+8
312,Milwaukee Bucks,,Sterling Brown,Houston Rockets,W,10/24/2019,5:41,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,0,0,2,2,+1
313,Houston Rockets,,Eric Gordon,Milwaukee Bucks,L,10/24/2019,27:37,4,19,.211,3,12,.250,0,1,.000,0,1,1,0,0,0,1,1,11,-22
314,Houston Rockets,,Ben McLemore,Milwaukee Bucks,L,10/24/2019,14:44,2,5,.400,2,5,.400,0,0,,0,0,0,1,0,0,0,0,6,-5
315,Houston Rockets,,Austin Rivers,Milwaukee Bucks,L,10/24/2019,12:07,0,3,.000,0,3,.000,3,4,.750,0,2,2,0,0,0,0,2,3,-3
316,Houston Rockets,,Tyson Chandler,Milwaukee Bucks,L,10/24/2019,10:31,5,6,.833,0,0,,0,1,.000,1,4,5,0,0,0,0,3,10,-1
317,Houston Rockets,,Thabo Sefolosha,Milwaukee Bucks,L,10/24/2019,10:24,0,1,.000,0,1,.000,0,0,,1,4,5,0,0,0,0,0,0,-3
318,Los Angeles Clippers,,Landry Shamet,Golden State Warriors,W,10/24/2019,33:56,4,5,.800,3,4,.750,0,0,,0,0,0,3,0,1,1,2,11,+15
