,Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
85,Dallas Mavericks,,Luka Dončić,Washington Wizards,W,10/23/2019,33:31,12,19,.632,4,9,.444,6,8,.750,1,8,9,3,2,0,6,4,34,0
86,Dallas Mavericks,,Kristaps Porziņģis,Washington Wizards,W,10/23/2019,29:11,7,16,.438,3,7,.429,6,7,.857,0,4,4,2,1,1,4,2,23,+3
87,Dallas Mavericks,,Maxi Kleber,Washington Wizards,W,10/23/2019,23:34,0,1,.000,0,1,.000,0,0,,1,7,8,1,0,3,3,4,0,-3
88,Dallas Mavericks,,Delon Wright,Washington Wizards,W,10/23/2019,21:28,1,2,.500,1,1,1.000,2,2,1.000,0,4,4,3,1,0,0,1,5,+1
89,Dallas Mavericks,,Courtney Lee,Washington Wizards,W,10/23/2019,16:02,2,5,.400,0,3,.000,0,0,,0,1,1,0,0,0,0,2,4,-4
90,New York Knicks,,Marcus Morris,San Antonio Spurs,L,10/23/2019,39:15,9,18,.500,3,7,.429,5,5,1.000,0,4,4,1,3,0,1,5,26,-15
91,New York Knicks,,RJ Barrett,San Antonio Spurs,L,10/23/2019,37:07,9,13,.692,1,3,.333,2,4,.500,0,5,5,2,2,0,3,3,21,-2
92,New York Knicks,,Julius Randle,San Antonio Spurs,L,10/23/2019,35:24,10,18,.556,1,4,.250,4,6,.667,1,10,11,6,3,0,1,4,25,+6
93,New York Knicks,,Bobby Portis,San Antonio Spurs,L,10/23/2019,33:05,4,10,.400,0,3,.000,0,1,.000,2,5,7,5,2,0,1,3,8,-5
94,New York Knicks,,Allonzo Trier,San Antonio Spurs,L,10/23/2019,6:51,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-6
95,San Antonio Spurs,,LaMarcus Aldridge,New York Knicks,W,10/23/2019,35:18,8,15,.533,1,1,1.000,5,5,1.000,4,4,8,1,0,2,4,1,22,-3
96,San Antonio Spurs,,Bryn Forbes,New York Knicks,W,10/23/2019,32:31,7,12,.583,3,6,.500,3,3,1.000,0,5,5,1,0,0,0,2,20,+4
97,San Antonio Spurs,,DeMar DeRozan,New York Knicks,W,10/23/2019,31:38,3,10,.300,0,1,.000,7,11,.636,0,4,4,4,0,1,4,3,13,+2
98,San Antonio Spurs,,Trey Lyles,New York Knicks,W,10/23/2019,24:17,3,4,.750,0,1,.000,2,2,1.000,1,10,11,0,0,0,1,4,8,+9
99,San Antonio Spurs,,Dejounte Murray,New York Knicks,W,10/23/2019,23:47,7,10,.700,1,1,1.000,3,3,1.000,0,8,8,6,3,0,4,1,18,+9
100,Oklahoma City Thunder,,Shai Gilgeous-Alexander,Utah Jazz,L,10/23/2019,36:46,10,23,.435,3,7,.429,3,6,.500,0,2,2,1,1,0,1,2,26,-12
101,Oklahoma City Thunder,,Chris Paul,Utah Jazz,L,10/23/2019,30:07,7,15,.467,4,7,.571,4,4,1.000,1,7,8,3,1,0,1,4,22,+4
102,Oklahoma City Thunder,,Danilo Gallinari,Utah Jazz,L,10/23/2019,28:21,7,13,.538,2,5,.400,5,5,1.000,0,7,7,2,1,0,1,2,21,+7
